"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"0","forall NODE0. ~locked_epoch0(NODE0)","2","----------1---------------","1","3","2","0000100010"
"1","forall NODE0. ~locked_epoch1(NODE0)","2","------------1-------------","1","3","2","0000100010"
"2","forall NODE0. ~transfer_epoch0(NODE0)","2","------------------1-------","1","1","2","0000001010"
"3","forall NODE0. ~transfer_epoch1(NODE0)","2","--------------------1-----","1","1","2","0000001010"
"4","exists NODE0. ~ep_epoch0(NODE0)","2","1---1---------------------","1","5","4","2000000001"
"5","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------------","2","9","6","2000000010"
"6","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------------","2","9","6","2000000010"
"7","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE0)","3","1--1----------------------","2","9","6","2000000010"
"8","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-------1-----------------","2","0","54","1010000010"
"9","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-------------1-----------","2","8","5","1000100010"
"10","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE0)","3","1---------------1---------","2","8","5","1000100010"
"11","exists NODE0. ~ep_epoch1(NODE0)","2","-1---1--------------------","1","5","4","2000000001"
"12","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------------","2","9","6","2000000010"
"13","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE0)","3","-1-1----------------------","2","9","6","2000000010"
"14","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1------------1-----------","2","8","5","1000100010"
"15","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE0)","3","-1--------------1---------","2","8","5","1000100010"
"16","exists NODE0. ~ep_epoch2(NODE0)","2","--1---1-------------------","1","5","4","2000000001"
"17","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch3(NODE0)","3","--11----------------------","2","9","6","2000000010"
"18","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","--1------------1----------","3","19","2","1000100020"
"19","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch3(NODE0)","3","--1-------------1---------","2","8","5","1000100010"
"20","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--1-------------------1---","2","16","3","1000001020"
"21","forall NODE0. ~ep_epoch2(NODE0) | locked_epoch2(NODE0)","3","--1-----------0-----------","2","7","2","1000010010"
"22","exists NODE0. ~ep_epoch3(NODE0)","2","---1---1------------------","1","5","4","2000000001"
"23","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~held(NODE1) | NODE0 = NODE1","5","---1-----1----------------","3","0","54","1010000020"
"24","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","---1-------------1--------","3","19","2","1000100020"
"25","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","---1------------------1---","2","16","3","1000001020"
"26","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","---1--------------------1-","2","16","3","1000001020"
"27","forall NODE0. ~ep_epoch3(NODE0) | held(NODE0)","3","---1----0-----------------","2","0","54","1001000010"
"28","forall NODE0. ~ep_epoch3(NODE0) | locked_epoch3(NODE0)","3","---1------------0---------","2","7","2","1000010010"
"29","exists NODE0. ~held(NODE0)","2","--------11----------------","1","0","54","0020000001"
"30","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","--------1--------1--------","3","0","54","0010100020"
"31","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","--------1-------------1---","2","11","2","0010001020"
"32","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch3(NODE1)","4","--------1---------------1-","2","11","2","0010001020"
"33","exists NODE0. ~locked_epoch2(NODE0)","2","--------------11----------","1","4","2","0000200001"
"34","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--------------1-------1---","2","10","3","0000101020"
