0	0
7	0
11	0
26	0
30	0
32	0
33	0
42	0
43	0
45	0
47	0
55	0
57	0
67	0
69	0
72	0
75	0
77	0
78	0
79	0
80	0
81	0
83	0
84	0
89	0
171	0
186	0
206	0
207	0
216	0
217	0
221	0
223	0
248	0
252	0
256	0
257	0
269	0
271	0
367	0
368	0
1	1
2	1
44	2
46	2
36	3
37	3
39	3
3	4
12	4
19	4
25	4
255	5
272	5
18	6
24	6
31	6
8	7
9	7
10	7
16	7
17	7
22	7
4	8
5	8
6	8
13	8
14	8
20	8
38	9
40	9
41	9
34	10
35	10
343	11
358	11
364	11
336	12
342	12
357	12
334	13
340	13
355	13
330	14
331	14
337	14
352	14
23	15
28	15
29	15
74	16
76	16
176	17
182	17
184	17
263	18
266	18
268	18
218	19
220	19
261	20
265	20
172	21
174	21
181	21
258	22
260	22
264	22
15	23
21	23
27	23
70	24
71	24
82	25
85	25
87	25
249	26
251	26
50	27
60	27
59	28
66	28
54	29
64	29
68	29
58	30
65	30
49	31
56	31
