"Orbit","pattern","SQI","qcost","Bit String","# literals","Group","Group Size","Sig","Number sig","Literal sig","ep","held","locked","transfer","#ep=1","#ep=0","#held=1","#held=0","#locked=1","#locked=0","#transfer=1","#transfer=0","#forall","#exists"
"0","1","forall NODE0. ~locked_epoch0(NODE0)","2","--------------1-----------------------","1","2","2","0000100010","0000100010","l1","------------","--","1-----------","------------","0","0","0","0","1","0","0","0","1","0"
"1","1","forall NODE0. ~locked_epoch1(NODE0)","2","----------------1---------------------","1","2","2","0000100010","0000100010","l1","------------","--","--1---------","------------","0","0","0","0","1","0","0","0","1","0"
"2","1","forall NODE0. ~transfer_epoch0(NODE0)","2","--------------------------1-----------","1","0","2","0000001010","0000001010","t1","------------","--","------------","1-----------","0","0","0","0","0","0","1","0","1","0"
"3","1","forall NODE0. ~transfer_epoch1(NODE0)","2","----------------------------1---------","1","0","2","0000001010","0000001010","t1","------------","--","------------","--1---------","0","0","0","0","0","0","1","0","1","0"
"4","1","exists NODE0. ~ep_epoch0(NODE0)","2","1-----1-------------------------------","1","5","6","e1","2000000001","e1","1-----1-----","--","------------","------------","2","0","0","0","0","0","0","0","0","1"
"5","2","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------------------------","2","13","15","2000000010","2000000010","e1","11----------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"6","2","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------------------------","2","13","15","2000000010","2000000010","e1","1-1---------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"7","2","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE0)","3","1--1----------------------------------","2","13","15","2000000010","2000000010","e1","1--1--------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"8","2","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch4(NODE0)","3","1---1---------------------------------","2","13","15","2000000010","2000000010","e1","1---1-------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"9","2","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch5(NODE0)","3","1----1--------------------------------","2","13","15","2000000010","2000000010","e1","1----1------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"10","2","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-----------1-------------------------","2","12","1","1010000010","1010000010","e1h1","1-----------","1-","------------","------------","1","0","1","0","0","0","0","0","1","0"
"11","2","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-----------------1-------------------","2","10","14","1000100010","1000100010","e1l1","1-----------","--","----1-------","------------","1","0","0","0","1","0","0","0","1","0"
"12","2","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE0)","3","1-------------------1-----------------","2","10","14","1000100010","1000100010","e1l1","1-----------","--","------1-----","------------","1","0","0","0","1","0","0","0","1","0"
"13","2","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch4(NODE0)","3","1---------------------1---------------","2","10","14","1000100010","1000100010","e1l1","1-----------","--","--------1---","------------","1","0","0","0","1","0","0","0","1","0"
"14","2","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch5(NODE0)","3","1-----------------------1-------------","2","10","14","1000100010","1000100010","e1l1","1-----------","--","----------1-","------------","1","0","0","0","1","0","0","0","1","0"
"15","1","exists NODE0. ~ep_epoch1(NODE0)","2","-1-----1------------------------------","1","5","6","e1","2000000001","e1","-1-----1----","--","------------","------------","2","0","0","0","0","0","0","0","0","1"
"16","2","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------------------------","2","13","15","2000000010","2000000010","e1","-11---------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"17","2","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE0)","3","-1-1----------------------------------","2","13","15","2000000010","2000000010","e1","-1-1--------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"18","2","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch4(NODE0)","3","-1--1---------------------------------","2","13","15","2000000010","2000000010","e1","-1--1-------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"19","2","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch5(NODE0)","3","-1---1--------------------------------","2","13","15","2000000010","2000000010","e1","-1---1------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"20","2","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1----------------1-------------------","2","10","14","1000100010","1000100010","e1l1","-1----------","--","----1-------","------------","1","0","0","0","1","0","0","0","1","0"
"21","2","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE0)","3","-1------------------1-----------------","2","10","14","1000100010","1000100010","e1l1","-1----------","--","------1-----","------------","1","0","0","0","1","0","0","0","1","0"
"22","2","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch4(NODE0)","3","-1--------------------1---------------","2","10","14","1000100010","1000100010","e1l1","-1----------","--","--------1---","------------","1","0","0","0","1","0","0","0","1","0"
