"Orbit","pattern","SQI","qcost","Bit String","# literals","Group","Group Type","Group Size","Sig","Number sig","Literal sig","ep","held","locked","transfer","#ep=1","#ep=0","#held=1","#held=0","#locked=1","#locked=0","#transfer=1","#transfer=0","#forall","#exists"
"0","1","forall NODE0. ~locked_epoch0(NODE0)","2","--------------1-----------------------","1","1","F","2","0000100010","0000100010","l1","------------","--","1-----------","------------","0","0","0","0","1","0","0","0","1","0"
"1","1","forall NODE0. ~locked_epoch1(NODE0)","2","----------------1---------------------","1","1","F","2","0000100010","0000100010","l1","------------","--","--1---------","------------","0","0","0","0","1","0","0","0","1","0"
"2","1","forall NODE0. ~transfer_epoch0(NODE0)","2","--------------------------1-----------","1","2","F","2","0000001010","0000001010","t1","------------","--","------------","1-----------","0","0","0","0","0","0","1","0","1","0"
"3","1","forall NODE0. ~transfer_epoch1(NODE0)","2","----------------------------1---------","1","2","F","2","0000001010","0000001010","t1","------------","--","------------","--1---------","0","0","0","0","0","0","1","0","1","0"
"4","1","exists NODE0. ~ep_epoch0(NODE0)","2","1-----1-------------------------------","1","1","E","6","e1","1000000001","e1","1-----1-----","--","------------","------------","2","0","0","0","0","0","0","0","0","1"
"5","1","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------------------------","2","3","F","15","1000000010","1000000010","e1","11----------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"6","1","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------------------------","2","3","F","15","1000000010","1000000010","e1","1-1---------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"7","1","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE0)","3","1--1----------------------------------","2","3","F","15","1000000010","1000000010","e1","1--1--------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"8","1","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch4(NODE0)","3","1---1---------------------------------","2","3","F","15","1000000010","1000000010","e1","1---1-------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"9","1","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch5(NODE0)","3","1----1--------------------------------","2","3","F","15","1000000010","1000000010","e1","1----1------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"10","2","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-----------1-------------------------","2","4","F","1","1010000010","1010000010","e1h1","1-----------","1-","------------","------------","1","0","1","0","0","0","0","0","1","0"
"11","2","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-----------------1-------------------","2","5","F","14","1000100010","1000100010","e1l1","1-----------","--","----1-------","------------","1","0","0","0","1","0","0","0","1","0"
"12","2","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE0)","3","1-------------------1-----------------","2","5","F","14","1000100010","1000100010","e1l1","1-----------","--","------1-----","------------","1","0","0","0","1","0","0","0","1","0"
"13","2","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch4(NODE0)","3","1---------------------1---------------","2","5","F","14","1000100010","1000100010","e1l1","1-----------","--","--------1---","------------","1","0","0","0","1","0","0","0","1","0"
"14","2","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch5(NODE0)","3","1-----------------------1-------------","2","5","F","14","1000100010","1000100010","e1l1","1-----------","--","----------1-","------------","1","0","0","0","1","0","0","0","1","0"
"15","1","exists NODE0. ~ep_epoch1(NODE0)","2","-1-----1------------------------------","1","1","E","6","e1","1000000001","e1","-1-----1----","--","------------","------------","2","0","0","0","0","0","0","0","0","1"
"16","1","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------------------------","2","3","F","15","1000000010","1000000010","e1","-11---------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"17","1","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE0)","3","-1-1----------------------------------","2","3","F","15","1000000010","1000000010","e1","-1-1--------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
"18","1","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch4(NODE0)","3","-1--1---------------------------------","2","3","F","15","1000000010","1000000010","e1","-1--1-------","--","------------","------------","2","0","0","0","0","0","0","0","1","0"
