"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"0","forall NODE0. ~locked_epoch0(NODE0)","2","----------1---------------","1","0","76","0000100010"
"1","forall NODE0. ~transfer_epoch0(NODE0)","2","------------------1-------","1","1","2","0000001010"
"2","forall NODE0. ~transfer_epoch1(NODE0)","2","--------------------1-----","1","1","2","0000001010"
"3","exists NODE0. ~ep_epoch0(NODE0)","2","1---1---------------------","1","4","4","2000000001"
"4","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------------","2","8","6","2000000010"
"5","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------------","2","8","6","2000000010"
"6","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE0)","3","1--1----------------------","2","8","6","2000000010"
"7","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-------1-----------------","2","0","76","1010000010"
"8","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch1(NODE0)","3","1-----------1-------------","2","7","6","1000100010"
"9","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-------------1-----------","2","7","6","1000100010"
"10","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE0)","3","1---------------1---------","2","7","6","1000100010"
"11","forall NODE1,NODE0. ~ep_epoch0(NODE0) | locked_epoch1(NODE1) | NODE0 = NODE1","5","1------------0------------","3","0","76","1000010020"
"12","exists NODE0. ~ep_epoch1(NODE0)","2","-1---1--------------------","1","4","4","2000000001"
"13","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------------","2","8","6","2000000010"
"14","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE0)","3","-1-1----------------------","2","8","6","2000000010"
"15","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~locked_epoch1(NODE1) | NODE0 = NODE1","5","-1-----------1------------","3","23","3","1000100020"
"16","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1------------1-----------","2","7","6","1000100010"
