"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"0","forall NODE0. ~locked_epoch0(NODE0)","2","----------------1---------------------------","1","0","232","0000100010"
"1","forall NODE0. ~transfer_epoch0(NODE0)","2","------------------------------1-------------","1","1","2","0000001010"
"2","forall NODE0. ~transfer_epoch1(NODE0)","2","--------------------------------1-----------","1","1","2","0000001010"
"3","exists NODE0. ~ep_epoch0(NODE0)","2","1------1------------------------------------","1","4","7","2000000001"
"4","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE0)","3","11------------------------------------------","2","8","21","2000000010"
"5","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE0)","3","1-1-----------------------------------------","2","8","21","2000000010"
"6","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE0)","3","1--1----------------------------------------","2","8","21","2000000010"
"7","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch4(NODE0)","3","1---1---------------------------------------","2","8","21","2000000010"
"8","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch5(NODE0)","3","1----1--------------------------------------","2","8","21","2000000010"
"9","forall NODE0. ~ep_epoch0(NODE0) | ~ep_epoch6(NODE0)","3","1-----1-------------------------------------","2","8","21","2000000010"
"10","forall NODE0. ~ep_epoch0(NODE0) | ~held(NODE0)","3","1-------------1-----------------------------","2","0","232","1010000010"
"11","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch1(NODE0)","3","1-----------------1-------------------------","2","7","21","1000100010"
"12","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch2(NODE0)","3","1-------------------1-----------------------","2","7","21","1000100010"
"13","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE0)","3","1---------------------1---------------------","2","7","21","1000100010"
"14","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch4(NODE0)","3","1-----------------------1-------------------","2","7","21","1000100010"
"15","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch5(NODE0)","3","1-------------------------1-----------------","2","7","21","1000100010"
"16","forall NODE0. ~ep_epoch0(NODE0) | ~locked_epoch6(NODE0)","3","1---------------------------1---------------","2","7","21","1000100010"
"17","forall NODE1,NODE0. ~ep_epoch0(NODE0) | locked_epoch1(NODE1) | NODE0 = NODE1","5","1------------------0------------------------","3","0","232","1000010020"
"18","exists NODE0. ~ep_epoch1(NODE0)","2","-1------1-----------------------------------","1","4","7","2000000001"
"19","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE0)","3","-11-----------------------------------------","2","8","21","2000000010"
"20","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE0)","3","-1-1----------------------------------------","2","8","21","2000000010"
"21","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch4(NODE0)","3","-1--1---------------------------------------","2","8","21","2000000010"
"22","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch5(NODE0)","3","-1---1--------------------------------------","2","8","21","2000000010"
"23","forall NODE0. ~ep_epoch1(NODE0) | ~ep_epoch6(NODE0)","3","-1----1-------------------------------------","2","8","21","2000000010"
"24","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~locked_epoch1(NODE1) | NODE0 = NODE1","5","-1-----------------1------------------------","3","18","6","1000100020"
"25","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1------------------1-----------------------","2","7","21","1000100010"
"26","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE0)","3","-1--------------------1---------------------","2","7","21","1000100010"
"27","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch4(NODE0)","3","-1----------------------1-------------------","2","7","21","1000100010"
"28","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch5(NODE0)","3","-1------------------------1-----------------","2","7","21","1000100010"
"29","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch6(NODE0)","3","-1--------------------------1---------------","2","7","21","1000100010"
"30","forall NODE0. ~ep_epoch1(NODE0) | locked_epoch1(NODE0)","3","-1----------------0-------------------------","2","6","6","1000010010"
"31","exists NODE0. ~ep_epoch2(NODE0)","2","--1------1----------------------------------","1","4","7","2000000001"
"32","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch3(NODE0)","3","--11----------------------------------------","2","8","21","2000000010"
"33","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch4(NODE0)","3","--1-1---------------------------------------","2","8","21","2000000010"
"34","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch5(NODE0)","3","--1--1--------------------------------------","2","8","21","2000000010"
"35","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch6(NODE0)","3","--1---1-------------------------------------","2","8","21","2000000010"
"36","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","--1------------------1----------------------","3","18","6","1000100020"
"37","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch3(NODE0)","3","--1-------------------1---------------------","2","7","21","1000100010"
"38","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch4(NODE0)","3","--1---------------------1-------------------","2","7","21","1000100010"
"39","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch5(NODE0)","3","--1-----------------------1-----------------","2","7","21","1000100010"
"40","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch6(NODE0)","3","--1-------------------------1---------------","2","7","21","1000100010"
"41","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--1-------------------------------1---------","2","13","15","1000001020"
"42","forall NODE0. ~ep_epoch2(NODE0) | locked_epoch2(NODE0)","3","--1-----------------0-----------------------","2","6","6","1000010010"
"43","exists NODE0. ~ep_epoch3(NODE0)","2","---1------1---------------------------------","1","4","7","2000000001"
"44","forall NODE0. ~ep_epoch3(NODE0) | ~ep_epoch4(NODE0)","3","---11---------------------------------------","2","8","21","2000000010"
